Date,Description,Category,Sub-Category,Amount
2026-06-01,"Rent / Mortgage",Needs,Housing,1400.00
2026-06-03,"Grocery Store",Needs,Groceries,400.00
2026-06-05,"Gas Station",Needs,Transportation,110.00
2026-06-07,"Electric Bill",Needs,Utilities & Phone,95.00
2026-06-10,"Weekend Dining",Wants,Dining & Takeout,127.00
2026-06-12,"Netflix / Spotify",Wants,Subscriptions,28.00
2026-06-14,"New Shoes",Wants,Shopping,120.00
2026-06-16,"Movie Night",Wants,Entertainment,35.00
2026-06-20,"Emergency Fund Deposit",Savings,Emergency Fund,500.00
2026-06-22,"Index Fund Buy",Savings,Investments,400.00
2026-06-25,"Vacation Fund",Savings,Savings Goal,100.00
